wl,n,,wl,k
10.2041,0.813,,10.2041,0.103
10.3093,0.768,,10.3093,0.108
10.4167,0.717,,10.4167,0.112
10.5263,0.658,,10.5263,0.12
10.6383,0.592,,10.6383,0.13
10.7527,0.514,,10.7527,0.139
10.8696,0.401,,10.8696,0.166
10.989,0.279,,10.989,0.239
11.1111,0.182,,11.1111,0.355
11.236,0.124,,11.236,0.484
11.3636,0.098,,11.3636,0.608
11.4943,0.087,,11.4943,0.719
11.6279,0.083,,11.6279,0.822
11.7647,0.081,,11.7647,0.915
11.9048,0.079,,11.9048,1.002
12.0482,0.078,,12.0482,1.088
12.1951,0.078,,12.1951,1.176
12.3457,0.079,,12.3457,1.266
12.5,0.082,,12.5,1.356
12.6582,0.083,,12.6582,1.439
12.8205,0.081,,12.8205,1.524
12.987,0.08,,12.987,1.618
13.1579,0.079,,13.1579,1.721
13.3333,0.079,,13.3333,1.833
13.5135,0.08,,13.5135,1.948
13.6986,0.091,,13.6986,2.064
13.8889,0.105,,13.8889,2.178
14.0845,0.114,,14.0845,2.311
14.2857,0.114,,14.2857,2.466
14.4928,0.117,,14.4928,2.645
14.7059,0.135,,14.7059,2.838
14.9254,0.172,,14.9254,3.049
15.1515,0.243,,15.1515,3.326
15.3846,0.369,,15.3846,3.683
15.625,0.664,,15.625,4.25
15.873,1.672,,15.873,3.46
16.129,0.735,,16.129,3.626
16.3934,0.774,,16.3934,4.26
16.6667,1.062,,16.6667,4.919
16.9492,1.523,,16.9492,5.835
17.2414,2.382,,17.2414,6.996
17.5439,5.146,,17.5439,8.491
17.8571,8.559,,17.8571,3.839
18.1818,6.585,,18.1818,1.299
18.5185,5.308,,18.5185,0.642
18.8679,4.497,,18.8679,0.42
19.2308,3.797,,19.2308,0.48
19.6078,3.232,,19.6078,0.662
20,2.725,,20,0.591
20.4082,1.951,,20.4082,0.573
20.8333,0.629,,20.8333,1.22
21.2766,0.283,,21.2766,2.824
21.7391,0.512,,21.7391,4.73
22.2222,1.472,,22.2222,7.373
22.7273,7.25,,22.7273,11.173
23.2558,9.484,,23.2558,1.231
23.8095,6.881,,23.8095,0.312
24.3902,5.718,,24.3902,0.108
25,5.02,,25,0.066
25.641,3.879,,25.641,0.606
26.3158,5.677,,26.3158,1.312
27.027,4.903,,27.027,0.108
27.7778,4.56,,27.7778,-0.069
28.5714,4.279,,28.5714,-0.089
29.4118,4.122,,29.4118,-0.043
30.303,4,,30.303,0.01
31.25,3.893,,31.25,0.046
32.2581,3.803,,32.2581,0.019
33.3333,3.723,,33.3333,0.013
34.4828,3.667,,34.4828,0.077
35.7143,3.646,,35.7143,0.077
37.037,3.617,,37.037,0.067
38.4615,3.571,,38.4615,0.048
40,3.53,,40,0.028
41.6667,3.492,,41.6667,0.013
43.4783,3.458,,43.4783,0.021
45.4545,3.426,,45.4545,0.028
47.619,3.398,,47.619,0.028
50,3.372,,50,0.018
52.6316,3.348,,52.6316,0.009
55.5556,3.326,,55.5556,0.011
